NEV;VALUE;M_KOD;VON_IDO
Ajkai járás;111,2268446;TYWA001;2024
Aszódi járás;125,885586;TYWA001;2024
Bácsalmási járás;32,47541046;TYWA001;2024
Bajai járás;58,6493079;TYWA001;2024
Baktalórántházai járás;68,03033876;TYWA001;2024
Balassagyarmati járás;67,16272078;TYWA001;2024
Balatonalmádi járás;112,5338895;TYWA001;2024
Balatonfüredi járás;71,21212121;TYWA001;2024
Balmazújvárosi járás;34,5556509;TYWA001;2024
Barcsi járás;29,26759229;TYWA001;2024
Bátonyterenyei járás;86,40983987;TYWA001;2024
Békéscsabai járás;114,7997359;TYWA001;2024
Békési járás;61,31716233;TYWA001;2024
Bélapátfalvai járás;42,99297916;TYWA001;2024
Berettyóújfalui járás;37,65771806;TYWA001;2024
Bicskei járás;62,45568526;TYWA001;2024
Bólyi járás;49,87050752;TYWA001;2024
Bonyhádi járás;57,54257908;TYWA001;2024
Budakeszi járás;342,0008998;TYWA001;2024
Budapest, illetve fiktív területi egység;3209,249491;TYWA001;2024
Ceglédi járás;100,9882895;TYWA001;2024
Celldömölki járás;46,84580178;TYWA001;2024
Cigándi járás;36,52238576;TYWA001;2024
Csengeri járás;50,08721756;TYWA001;2024
Csongrádi járás;60,58542625;TYWA001;2024
Csornai járás;54,8209604;TYWA001;2024
Csurgói járás;29,35972107;TYWA001;2024
Dabasi járás;83,51789727;TYWA001;2024
Debreceni járás;407,3390695;TYWA001;2024
Derecskei járás;62,3631443;TYWA001;2024
Devecseri járás;32,91592553;TYWA001;2024
Dombóvári járás;55,5479156;TYWA001;2024
Dunakeszi járás;827,7165654;TYWA001;2024
Dunaújvárosi járás;134,329667;TYWA001;2024
Edelényi járás;44,17914606;TYWA001;2024
Egri járás;132,4192343;TYWA001;2024
Encsi járás;56,19334549;TYWA001;2024
Enyingi járás;44,62529436;TYWA001;2024
Érdi járás;715,084102;TYWA001;2024
Esztergomi járás;170,8093023;TYWA001;2024
Fehérgyarmati járás;48,56750947;TYWA001;2024
Fonyódi járás;50,63832424;TYWA001;2024
Füzesabonyi járás;48,1479561;TYWA001;2024
Gárdonyi járás;125,4147248;TYWA001;2024
Gödöllői járás;357,4193835;TYWA001;2024
Gönci járás;31,7544698;TYWA001;2024
Gyáli járás;254,734195;TYWA001;2024
Gyomaendrődi járás;29,4516256;TYWA001;2024
Gyöngyösi járás;90,03149671;TYWA001;2024
Győri járás;223,8234286;TYWA001;2024
Gyulai járás;88,36911014;TYWA001;2024
Hajdúböszörményi járás;79,71318865;TYWA001;2024
Hajdúhadházi járás;172,2051956;TYWA001;2024
Hajdúnánási járás;50,58563415;TYWA001;2024
Hajdúszoboszlói járás;57,63718264;TYWA001;2024
Hatvani járás;134,0342047;TYWA001;2024
Hegyháti járás;30,16467066;TYWA001;2024
Hevesi járás;47,26808852;TYWA001;2024
Hódmezővásárhelyi járás;71,92979983;TYWA001;2024
Ibrányi járás;71,4683893;TYWA001;2024
Jánoshalmai járás;34,63465743;TYWA001;2024
Jászapáti járás;56,71962531;TYWA001;2024
Jászberényi járás;78,86906209;TYWA001;2024
Kalocsai járás;42,27872649;TYWA001;2024
Kaposvári járás;66,76050674;TYWA001;2024
Kapuvári járás;61,03260038;TYWA001;2024
Karcagi járás;43,77201782;TYWA001;2024
Kazincbarcikai járás;168,229441;TYWA001;2024
Kecskeméti járás;128,2830533;TYWA001;2024
Kemecsei járás;83,36648131;TYWA001;2024
Keszthelyi járás;89,47918416;TYWA001;2024
Kisbéri járás;37,1371489;TYWA001;2024
Kiskőrösi járás;45,19653553;TYWA001;2024
Kiskunfélegyházi járás;60,40661435;TYWA001;2024
Kiskunhalasi járás;47,85139469;TYWA001;2024
Kiskunmajsai járás;36,85338168;TYWA001;2024
Kisteleki járás;41,72598732;TYWA001;2024
Kisvárdai járás;96,07303317;TYWA001;2024
Komáromi járás;103,9096553;TYWA001;2024
Komlói járás;107,1150164;TYWA001;2024
Körmendi járás;39,98502921;TYWA001;2024
Kőszegi járás;89,34892651;TYWA001;2024
Kunhegyesi járás;40,88639201;TYWA001;2024
Kunszentmártoni járás;54,06858749;TYWA001;2024
Kunszentmiklósi járás;37,69972201;TYWA001;2024
Lenti járás;28,05395793;TYWA001;2024
Letenyei járás;36,5505352;TYWA001;2024
Makói járás;59,37799321;TYWA001;2024
Marcali járás;35,53639529;TYWA001;2024
Martonvásári járás;101,4213564;TYWA001;2024
Mátészalkai járás;94,62933615;TYWA001;2024
Mezőcsáti járás;37,96077538;TYWA001;2024
Mezőkovácsházai járás;36,27834689;TYWA001;2024
Mezőkövesdi járás;52,99035459;TYWA001;2024
Mezőtúri járás;33,65254774;TYWA001;2024
Miskolci járás;226,8132478;TYWA001;2024
Mohácsi járás;53,39356728;TYWA001;2024
Monori járás;210,9769609;TYWA001;2024
Mórahalmi járás;50,62040482;TYWA001;2024
Móri járás;79,8419351;TYWA001;2024
Mosonmagyaróvári járás;88,88604894;TYWA001;2024
Nagyatádi járás;34,47385909;TYWA001;2024
Nagykállói járás;73,90268439;TYWA001;2024
Nagykanizsai járás;76,16446202;TYWA001;2024
Nagykátai járás;106,8739462;TYWA001;2024
Nagykőrösi járás;76,77308518;TYWA001;2024
Nyíradonyi járás;54,59355648;TYWA001;2024
Nyírbátori járás;56,71939882;TYWA001;2024
Nyíregyházai járás;199,2057904;TYWA001;2024
Orosházi járás;61,41833292;TYWA001;2024
Oroszlányi járás;126,525904;TYWA001;2024
Ózdi járás;123,4312988;TYWA001;2024
Paksi járás;54,48803828;TYWA001;2024
Pannonhalmi járás;50,81961965;TYWA001;2024
Pápai járás;52,6422426;TYWA001;2024
Pásztói járás;51,84285429;TYWA001;2024
