NEV;VALUE;M_KOD;VON_IDO
Bács-Kiskun vármegye;57,85126609;TYWA001;2024
Baranya vármegye;79,27425581;TYWA001;2024
Békés vármegye;54,55220447;TYWA001;2024
Borsod-Abaúj-Zemplén vármegye;84,29858235;TYWA001;2024
Budapest;3209,249491;TYWA001;2024
Csongrád-Csanád vármegye;91,00706519;TYWA001;2024
Fejér vármegye;96,03151478;TYWA001;2024
Győr-Moson-Sopron vármegye;112,0716653;TYWA001;2024
Hajdú-Bihar vármegye;83,75169273;TYWA001;2024
Heves vármegye;77,66731369;TYWA001;2024
Jász-Nagykun-Szolnok vármegye;62,65660748;TYWA001;2024
Komárom-Esztergom vármegye;132,1600961;TYWA001;2024
Nógrád vármegye;70,27648411;TYWA001;2024
Pest vármegye;209,0315737;TYWA001;2024
Somogy vármegye;47,85202136;TYWA001;2024
Szabolcs-Szatmár-Bereg vármegye;87,69936805;TYWA001;2024
Tolna vármegye;55,24075189;TYWA001;2024
Vas vármegye;73,61785547;TYWA001;2024
Veszprém vármegye;74,69413821;TYWA001;2024
Zala vármegye;68,01846801;TYWA001;2024
Bács-Kiskun vármegye;4105,436975;TYWA002;2024
Baranya vármegye;1166,637874;TYWA002;2024
Békés vármegye;4094,826667;TYWA002;2024
Borsod-Abaúj-Zemplén vármegye;1706,5;TYWA002;2024
Budapest;1685209;TYWA002;2024
Csongrád-Csanád vármegye;6468,433333;TYWA002;2024
Fejér vármegye;3875,574074;TYWA002;2024
Győr-Moson-Sopron vármegye;2577,311475;TYWA002;2024
Hajdú-Bihar vármegye;6343,036585;TYWA002;2024
Heves vármegye;2334,628099;TYWA002;2024
Jász-Nagykun-Szolnok vármegye;4483,666667;TYWA002;2024
Komárom-Esztergom vármegye;3937,657895;TYWA002;2024
Nógrád vármegye;1365;TYWA002;2024
Pest vármegye;7145,101604;TYWA002;2024
Somogy vármegye;1179,857724;TYWA002;2024
Szabolcs-Szatmár-Bereg vármegye;2273,148472;TYWA002;2024
Tolna vármegye;1876,761468;TYWA002;2024
Vas vármegye;1137,027778;TYWA002;2024
Veszprém vármegye;1536,152074;TYWA002;2024
Zala vármegye;997,5620155;TYWA002;2024
Bács-Kiskun vármegye;34,64393917;TYWA101;2024
Baranya vármegye;35,89340786;TYWA101;2024
Békés vármegye;38,56225797;TYWA101;2024
