NEV;VALUE;M_KOD;VON_IDO
Budapest (Budapest);3209,249491;TYWA001;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);64,54855571;TYWA001;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);64,54855571;TYWA001;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);59,5824013;TYWA001;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);78,43157828;TYWA001;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);79,8456453;TYWA001;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);94,82138379;TYWA001;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);86,03299139;TYWA001;2024
Pest (Pest);209,0315737;TYWA001;2024
Budapest (Budapest);1685209;TYWA002;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);4660,492126;TYWA002;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);4660,492126;TYWA002;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);1289,588415;TYWA002;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);3574,308483;TYWA002;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);1757,757377;TYWA002;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);2621,369077;TYWA002;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);1483,435312;TYWA002;2024
Pest (Pest);7145,101604;TYWA002;2024
Budapest (Budapest);31,06769351;TYWA101;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);35,59930321;TYWA101;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);35,59930321;TYWA101;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);37,16506286;TYWA101;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);30,72012698;TYWA101;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);33,09403689;TYWA101;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);32,61081266;TYWA101;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);33,41960649;TYWA101;2024
Pest (Pest);27,46329801;TYWA101;2024
Budapest (Budapest);18,31517028;TYWA102;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);21,6909669;TYWA102;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);21,6909669;TYWA102;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);21,15133413;TYWA102;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);24,04267089;TYWA102;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);24,47892403;TYWA102;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);22,01925283;TYWA102;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);21,24001657;TYWA102;2024
Pest (Pest);25,09162653;TYWA102;2024
Budapest (Budapest);169,6281992;TYWA201;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);164,1204072;TYWA201;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);164,1204072;TYWA201;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);175,7102537;TYWA201;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);127,773354;TYWA201;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);135,1940014;TYWA201;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);148,1013588;TYWA201;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);157,3426573;TYWA201;2024
Pest (Pest);109,4520436;TYWA201;2024
Budapest (Budapest);41,46571501;TYWA202;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);42,28426531;TYWA202;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);42,28426531;TYWA202;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);42,85604155;TYWA202;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);40,29021597;TYWA202;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);40,67506107;TYWA202;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);41,79329231;TYWA202;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);42,29356131;TYWA202;2024
Pest (Pest);39,99445163;TYWA202;2024
Budapest (Budapest);45,86624939;TYWA203;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);46,36860816;TYWA203;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);46,36860816;TYWA203;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);46,91189996;TYWA203;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);44,23357769;TYWA203;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);45,11691155;TYWA203;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);45,60807085;TYWA203;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);46,01064649;TYWA203;2024
Pest (Pest);43,3482453;TYWA203;2024
Budapest (Budapest);7,30728287;TYWB001;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);7,66083545;TYWB001;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);7,66083545;TYWB001;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);7,1891615;TYWB001;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);9,30662823;TYWB001;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);9,14843899;TYWB001;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);7,72597407;TYWB001;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);7,3121881;TYWB001;2024
Pest (Pest);8,30376666;TYWB001;2024
Budapest (Budapest);15,52200032;TYWB002;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);22,58241758;TYWB002;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);22,58241758;TYWB002;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);28,6977887;TYWB002;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);29,81969487;TYWB002;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);36,31845842;TYWB002;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);21,14180479;TYWB002;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);17,70134228;TYWB002;2024
Pest (Pest);16,34034106;TYWB002;2024
Budapest (Budapest);1,03925627;TYWB003;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);1,37823067;TYWB003;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);1,37823067;TYWB003;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);1,32849204;TYWB003;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);1,59346651;TYWB003;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);1,63694774;TYWB003;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);1,39054737;TYWB003;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);1,30494858;TYWB003;2024
Pest (Pest);1,42031626;TYWB003;2024
Budapest (Budapest);6,421497;TYWB004;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);8,50549451;TYWB004;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);8,50549451;TYWB004;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);9,25470925;TYWB004;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);8,57605178;TYWB004;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);11,0040568;TYWB004;2024
Közép-Dunántúl (Fejér, Komárom-Esztergom, Veszprém);7,46470227;TYWB004;2024
Nyugat-Dunántúl (Győr-Moson-Sopron, Vas, Zala);6,99105145;TYWB004;2024
Pest (Pest);6,39718488;TYWB004;2024
Budapest (Budapest);32,08010262;TYWB005;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád);28,96387833;TYWB005;2024
Dél-Alföld (Bács-Kiskun, Békés, Csongrád-Csanád);28,96387833;TYWB005;2024
Dél-Dunántúl (Baranya, Somogy, Tolna);28,6808432;TYWB005;2024
Észak-Alföld (Hajdú-Bihar, Jász-Nagykun-Szolnok, Szabolcs-Szatmár-Bereg);27,39186113;TYWB005;2024
Észak-Magyarország (Borsod-Abaúj-Zemplén, Heves, Nógrád);26,76410658;TYWB005;2024
