NEV;VALUE;M_KOD;VON_IDO
Ipolyszög;306,3636364;TYWG005;2024
Somoskőújfalu;287,2539831;TYWG005;2024
Ráckeresztúr;315,1359295;TYWG005;2024
Martonyi;256,6666667;TYWG005;2024
Kakasd;384,8726115;TYWG005;2024
Narda;361,5;TYWG005;2024
Sávoly;304,0358744;TYWG005;2024
Gönyű;337,6012966;TYWG005;2024
Dunaremete;353,9130435;TYWG005;2024
Mánd;257;TYWG005;2024
Gutorfölde;282,8025478;TYWG005;2024
Maróc;257,1428571;TYWG005;2024
Csanádalberti;262,7118644;TYWG005;2024
Mihályfa;304,5454546;TYWG005;2024
Foktő;301,9417476;TYWG005;2024
Muhi;325,2427185;TYWG005;2024
Komádi;241,4443989;TYWG005;2024
Csopak;387,5652174;TYWG005;2024
Nemesvámos;377,4661509;TYWG005;2024
Isztimér;313,6363636;TYWG005;2024
Balatonfűzfő;323,5866543;TYWG005;2024
Martonfa;337,3626374;TYWG005;2024
Vág;273,5395189;TYWG005;2024
Vát;324,8031496;TYWG005;2024
Vásárosdombó;306,8421053;TYWG005;2024
Abaújvár;259,7122302;TYWG005;2024
Hejőkürt;284,3971631;TYWG005;2024
Tiszabábolna;264,7482014;TYWG005;2024
Kaba;283,7049743;TYWG005;2024
Etyek;363,4332745;TYWG005;2024
Baktalórántháza;301,5084295;TYWG005;2024
Kincsesbánya;264,3410853;TYWG005;2024
Újkígyós;308,6542818;TYWG005;2024
Nagybajcs;385,5626327;TYWG005;2024
Rád;354,7486034;TYWG005;2024
Bercel;309,7183099;TYWG005;2024
Surd;330,9322034;TYWG005;2024
Kisbabot;331,8181818;TYWG005;2024
Hegyesd;268,0851064;TYWG005;2024
Bük;352,640264;TYWG005;2024
Szatta;291,1111111;TYWG005;2024
Vajta;287,371134;TYWG005;2024
Hegymeg;332,7272727;TYWG005;2024
Csombárd;326,3636364;TYWG005;2024
Zalacséb;334,8484849;TYWG005;2024
Nagycenk;356,7219153;TYWG005;2024
Kisunyom;313,4078212;TYWG005;2024
Kocs;338,1280788;TYWG005;2024
Várfölde;254,0816327;TYWG005;2024
Sumony;250,6493507;TYWG005;2024
Mórichida;330,1994302;TYWG005;2024
Döbrököz;292,5690021;TYWG005;2024
Kenéz;283,9285714;TYWG005;2024
Csesztreg;339,2265193;TYWG005;2024
Zalaszentiván;321,9806763;TYWG005;2024
Sopronnémeti;353,8461539;TYWG005;2024
Martfű;260,5110733;TYWG005;2024
Öttevény;363,4892086;TYWG005;2024
Alibánfa;295,9064328;TYWG005;2024
Nagyharsány;325,1937985;TYWG005;2024
Milejszeg;275;TYWG005;2024
Kántorjánosi;262,2710623;TYWG005;2024
Békésszentandrás;275,8996729;TYWG005;2024
Sárkeszi;318,7793427;TYWG005;2024
Pálmonostora;252,4867725;TYWG005;2024
Tótvázsony;347,4226804;TYWG005;2024
Sáregres;271,0843374;TYWG005;2024
Fáj;266,2790698;TYWG005;2024
Vértesacsa;311,0955056;TYWG005;2024
Tápiószőlős;269,0404798;TYWG005;2024
Ludányhalászi;305,9957173;TYWG005;2024
Nemesgulács;339,0052356;TYWG005;2024
Nak;307,7490775;TYWG005;2024
Enying;303,2294833;TYWG005;2024
Miszla;259,7701149;TYWG005;2024
Abaújlak;257,3333333;TYWG005;2024
Nemeskocs;302,7586207;TYWG005;2024
Felsőzsolca;357,2066042;TYWG005;2024
Geresdlak;351,1688312;TYWG005;2024
Oszlár;282,2222222;TYWG005;2024
